iter	Passed	Remaining
0	142	142164
1	143	71363
2	143	47737
3	144	35944
4	144	28837
5	145	24097
6	146	20724
7	146	18190
8	147	16231
9	148	14652
10	148	13359
11	149	12285
12	149	11372
13	150	10602
14	151	9922
15	151	9333
16	152	8813
17	153	8371
18	154	7965
19	154	7589
20	155	7252
21	156	6945
22	156	6663
23	157	6403
24	158	6166
25	158	5943
26	159	5737
27	159	5547
28	160	5372
29	161	5207
30	161	5054
31	162	4908
32	162	4775
33	163	4645
34	164	4524
35	164	4411
36	165	4303
37	165	4201
38	166	4105
39	167	4014
40	168	3931
41	168	3848
42	169	3767
43	169	3692
44	170	3619
45	171	3550
46	171	3484
47	172	3420
48	173	3358
49	173	3298
50	174	3242
51	174	3187
52	175	3136
53	176	3086
54	176	3036
55	177	2988
56	177	2942
57	178	2897
58	179	2862
59	180	2824
60	180	2784
61	181	2747
62	182	2710
63	183	2678
64	183	2643
65	184	2609
66	184	2575
67	185	2543
68	186	2512
69	186	2481
70	187	2451
71	187	2422
72	188	2393
73	189	2366
74	189	2339
75	190	2314
76	190	2289
77	191	2264
78	192	2240
79	192	2216
80	193	2194
81	194	2173
82	194	2151
83	195	2131
84	196	2110
85	196	2089
86	197	2073
87	198	2056
88	199	2038
89	199	2019
90	200	2000
91	200	1983
92	201	1965
93	202	1948
94	202	1931
95	203	1915
96	203	1898
97	204	1882
98	205	1866
99	205	1850
100	206	1835
101	206	1820
102	207	1807
103	208	1793
104	208	1779
105	209	1766
106	210	1753
107	210	1739
108	211	1726
109	211	1713
110	212	1702
111	213	1693
112	214	1681
113	214	1669
114	215	1657
115	216	1646
116	216	1634
117	217	1623
118	217	1612
119	218	1601
120	218	1589
121	219	1578
122	219	1567
123	220	1557
124	220	1546
125	221	1537
126	222	1527
127	222	1517
128	223	1507
129	223	1498
130	224	1488
131	224	1478
132	225	1469
133	226	1460
134	226	1451
135	227	1443
136	227	1435
137	228	1429
138	229	1420
139	229	1412
140	230	1404
141	231	1397
142	231	1389
143	232	1381
144	233	1374
145	233	1366
146	234	1358
147	234	1351
148	235	1343
149	235	1336
150	236	1329
151	237	1322
152	237	1316
153	238	1309
154	238	1302
155	239	1295
156	240	1289
157	240	1282
158	241	1276
159	242	1270
160	242	1264
161	243	1260
162	244	1253
163	244	1247
164	245	1242
165	246	1236
166	246	1230
167	247	1224
168	247	1219
169	248	1213
170	249	1208
171	249	1202
172	250	1197
173	251	1191
174	251	1186
175	252	1180
176	252	1176
177	253	1170
178	254	1165
179	254	1160
180	255	1155
181	256	1150
182	256	1145
183	257	1140
184	258	1136
185	258	1132
186	259	1127
187	259	1122
188	260	1117
189	261	1112
190	261	1108
191	262	1103
192	262	1099
193	263	1094
194	263	1089
195	264	1085
196	265	1080
197	265	1076
198	266	1072
199	267	1068
200	267	1064
201	268	1059
202	268	1055
203	269	1051
204	270	1048
205	270	1044
206	271	1040
207	272	1036
208	272	1032
209	273	1029
210	274	1025
211	274	1021
212	275	1017
213	275	1013
214	276	1009
215	276	1005
216	277	1001
217	278	997
218	278	993
219	279	990
220	279	986
221	280	982
222	280	978
223	281	975
224	282	971
225	282	968
226	283	964
227	283	961
228	284	957
229	285	954
230	285	950
231	286	947
232	286	943
233	287	940
234	288	937
235	288	935
236	289	931
237	289	928
238	290	925
239	291	922
240	292	919
241	292	916
242	293	914
243	293	910
244	294	908
245	295	904
246	295	901
247	296	898
248	297	895
249	297	892
250	298	889
251	298	887
252	299	884
253	300	881
254	300	877
255	300	874
256	301	871
257	302	869
258	302	866
259	303	863
260	304	861
261	305	859
262	305	856
263	306	854
264	307	851
265	307	849
266	308	846
267	308	843
268	309	841
269	310	838
270	310	836
271	311	833
272	312	831
273	312	828
274	313	826
275	314	823
276	314	821
277	315	818
278	315	816
279	316	813
280	317	811
281	317	808
282	318	806
283	319	804
284	320	802
285	320	800
286	321	799
287	322	797
288	323	795
289	323	792
290	324	790
291	325	788
292	325	786
293	326	784
294	327	781
295	327	779
296	328	777
297	329	775
298	329	773
299	330	770
300	331	768
301	331	766
302	332	764
303	333	762
304	333	760
305	334	759
306	335	757
307	336	755
308	336	753
309	337	751
310	338	749
311	338	747
312	339	745
313	340	743
314	340	741
315	341	739
316	342	737
317	342	735
318	343	733
319	343	730
320	344	728
321	345	726
322	345	724
323	346	722
324	346	720
325	347	718
326	348	716
327	349	715
328	350	714
329	351	712
330	352	711
331	353	710
332	354	709
333	355	708
334	355	706
335	356	704
336	357	702
337	357	700
338	358	698
339	358	696
340	359	694
341	359	692
342	360	690
343	361	688
344	361	686
345	362	685
346	363	683
347	363	681
348	364	680
349	365	679
350	366	677
351	367	676
352	367	674
353	368	672
354	369	671
355	369	669
356	370	667
357	371	665
358	371	663
359	372	661
360	372	659
361	373	657
362	373	656
363	374	654
364	375	652
365	375	651
366	376	649
367	376	647
368	377	645
369	378	643
370	378	642
371	379	641
372	380	640
373	381	638
374	382	637
375	382	635
376	383	633
377	384	632
378	384	630
379	385	628
380	385	627
381	386	625
382	387	623
383	387	622
384	388	620
385	389	618
386	389	617
387	390	615
388	390	613
389	391	612
390	392	610
391	392	608
392	393	607
393	393	605
394	394	604
395	395	603
396	396	601
397	396	600
398	397	598
399	398	597
400	398	595
401	399	594
402	400	592
403	400	591
404	401	590
405	402	588
406	402	586
407	403	585
408	404	583
409	404	582
410	405	580
411	405	579
